onset_sec,note,velocity,offset,duration,freq
180.5,72.0,80.0,180.97291666666666,0.4729166666666629,523.2511306011972
181.0,74.0,80.0,181.23541666666668,0.23541666666667993,587.3295358348153
181.25,65.0,80.0,181.48541666666668,0.23541666666667993,349.22823143300394
181.5,64.0,80.0,181.97291666666666,0.4729166666666629,329.62755691286986
182.0,59.0,80.0,182.94791666666666,0.9479166666666572,246.94165062806212
183.0,60.0,80.0,183.94791666666666,0.9479166666666572,261.6255653005986
184.0,64.0,80.0,184.94791666666666,0.9479166666666572,329.62755691286986
185.0,64.0,80.0,185.94791666666666,0.9479166666666572,329.62755691286986
186.0,64.0,80.0,187.42291666666668,1.42291666666668,329.62755691286986
187.5,62.0,80.0,187.73541666666668,0.23541666666667993,293.66476791740763
187.75,64.0,80.0,187.98541666666668,0.23541666666667993,329.62755691286986
188.0,65.0,80.0,188.94791666666666,0.9479166666666572,349.22823143300394
189.0,67.0,80.0,189.47291666666666,0.4729166666666629,391.9954359817492
189.5,62.0,80.0,189.97291666666666,0.4729166666666629,293.66476791740763
190.0,64.0,80.0,190.94791666666666,0.9479166666666572,329.62755691286986
191.0,72.0,80.0,191.94791666666666,0.9479166666666572,523.2511306011972
192.0,72.0,80.0,192.23541666666668,0.23541666666667993,523.2511306011972
192.25,72.0,80.0,192.48541666666668,0.23541666666667993,523.2511306011972
192.5,71.0,80.0,192.73541666666668,0.23541666666667993,493.88330125612424
192.75,69.0,80.0,192.98541666666668,0.23541666666667993,440.0
193.0,67.0,80.0,193.23541666666668,0.23541666666667993,391.9954359817492
193.25,64.0,80.0,193.48541666666668,0.23541666666667993,329.62755691286986
193.5,60.0,80.0,193.97291666666666,0.4729166666666629,261.6255653005986
194.0,60.0,80.0,194.47291666666666,0.4729166666666629,261.6255653005986
194.5,62.0,80.0,194.97291666666666,0.4729166666666629,293.66476791740763
195.0,64.0,80.0,195.47291666666666,0.4729166666666629,329.62755691286986
195.5,67.0,80.0,196.44791666666666,0.9479166666666572,391.9954359817492
196.5,67.0,80.0,196.97291666666666,0.4729166666666629,391.9954359817492
197.0,64.0,80.0,197.94791666666666,0.9479166666666572,329.62755691286986
198.0,60.0,80.0,198.94791666666666,0.9479166666666572,261.6255653005986
199.0,72.0,80.0,199.94791666666666,0.9479166666666572,523.2511306011972
200.0,72.0,80.0,201.42291666666668,1.42291666666668,523.2511306011972
201.5,71.0,80.0,202.21041666666667,0.7104166666666742,493.88330125612424
202.25,72.0,80.0,202.48541666666668,0.23541666666667993,523.2511306011972
202.5,74.0,80.0,202.73541666666668,0.23541666666667993,587.3295358348153
202.75,72.0,80.0,202.98541666666668,0.23541666666667993,523.2511306011972
203.0,71.0,80.0,203.47291666666666,0.4729166666666629,493.88330125612424
203.5,67.0,80.0,203.97291666666666,0.4729166666666629,391.9954359817492
204.0,69.0,80.0,205.42291666666668,1.42291666666668,440.0
205.5,71.0,80.0,206.21041666666667,0.7104166666666742,493.88330125612424
206.25,69.0,80.0,206.48541666666668,0.23541666666667993,440.0
206.5,67.0,80.0,206.73541666666668,0.23541666666667993,391.9954359817492
206.75,65.0,80.0,206.98541666666668,0.23541666666667993,349.22823143300394
207.0,60.0,80.0,207.94791666666666,0.9479166666666572,261.6255653005986
208.0,72.0,80.0,208.47291666666666,0.4729166666666629,523.2511306011972
208.5,67.0,80.0,208.97291666666666,0.4729166666666629,391.9954359817492
209.0,67.0,80.0,209.23541666666668,0.23541666666667993,391.9954359817492
209.25,69.0,80.0,209.48541666666668,0.23541666666667993,440.0
209.5,67.0,80.0,209.73541666666668,0.23541666666667993,391.9954359817492
209.75,65.0,80.0,209.98541666666668,0.23541666666667993,349.22823143300394
210.0,64.0,80.0,210.47291666666666,0.4729166666666629,329.62755691286986
210.5,65.0,80.0,210.97291666666666,0.4729166666666629,349.22823143300394
211.0,67.0,80.0,211.94791666666666,0.9479166666666572,391.9954359817492
212.0,72.0,80.0,212.47291666666666,0.4729166666666629,523.2511306011972
212.5,67.0,80.0,212.97291666666666,0.4729166666666629,391.9954359817492
213.0,67.0,80.0,213.23541666666668,0.23541666666667993,391.9954359817492
213.25,69.0,80.0,213.48541666666668,0.23541666666667993,440.0
213.5,67.0,80.0,213.73541666666668,0.23541666666667993,391.9954359817492
213.75,65.0,80.0,213.98541666666668,0.23541666666667993,349.22823143300394
214.0,64.0,80.0,214.47291666666666,0.4729166666666629,329.62755691286986
214.5,62.0,80.0,214.97291666666666,0.4729166666666629,293.66476791740763
215.0,60.0,80.0,215.94791666666666,0.9479166666666572,261.6255653005986
216.0,64.0,80.0,216.71041666666667,0.7104166666666742,329.62755691286986
216.75,72.0,80.0,216.98541666666668,0.23541666666667993,523.2511306011972
217.0,71.0,80.0,217.47291666666666,0.4729166666666629,493.88330125612424
217.5,69.0,80.0,217.97291666666666,0.4729166666666629,440.0
218.0,67.0,80.0,218.47291666666666,0.4729166666666629,391.9954359817492
218.5,69.0,80.0,219.44791666666666,0.9479166666666572,440.0
219.5,65.0,80.0,219.97291666666666,0.4729166666666629,349.22823143300394
220.0,64.0,80.0,220.71041666666667,0.7104166666666742,329.62755691286986
220.75,67.0,80.0,220.98541666666668,0.23541666666667993,391.9954359817492
221.0,64.0,80.0,221.47291666666666,0.4729166666666629,329.62755691286986
221.5,62.0,80.0,221.97291666666666,0.4729166666666629,293.66476791740763
222.0,64.0,80.0,222.47291666666666,0.4729166666666629,329.62755691286986
222.5,60.0,80.0,223.44791666666666,0.9479166666666572,261.6255653005986
223.5,60.0,80.0,223.97291666666666,0.4729166666666629,261.6255653005986
